time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_14_30_55_042952,-1.57079633,0.0,0.005,20001,1.0662432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_765256,-1.57079633,0.0,0.005,20001,1.0632432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_55_875042,-1.57079633,0.0,0.005,20001,1.061,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_016078,-1.57079633,0.0,0.005,20001,1.0621081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_018096,-1.57079633,0.0,0.005,20001,1.0655135,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_047753,-1.57079633,0.0,0.005,20001,1.0643784,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_267352,-1.57079633,0.0,0.005,20001,1.0632703,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_455827,-1.57079633,0.0,0.005,20001,1.061027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_628599,-1.57079633,0.0,0.005,20001,1.0655405,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_141924,-1.57079633,0.0,0.005,20001,1.0662703,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_691184,-1.57079633,0.0,0.005,20001,1.0621351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_675488,-1.57079633,0.0,0.005,20001,1.0644054,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_56_942432,-1.57079633,0.0,0.005,20001,1.0632973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_082963,-1.57079633,0.0,0.005,20001,1.0610541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_177140,-1.57079633,0.0,0.005,20001,1.0655676,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_255676,-1.57079633,0.0,0.005,20001,1.0621622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_224416,-1.57079633,0.0,0.005,20001,1.0644324,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_457376,-1.57079633,0.0,0.005,20001,1.0633243,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_208390,-1.57079633,0.0,0.005,20001,1.0662973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_822573,-1.57079633,0.0,0.005,20001,1.0610811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_57_998518,-1.57079633,0.0,0.005,20001,1.0655946,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_014144,-1.57079633,0.0,0.005,20001,1.0621892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_045818,-1.57079633,0.0,0.005,20001,1.0644595,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_186878,-1.57079633,0.0,0.005,20001,1.0633514,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_438114,-1.57079633,0.0,0.005,20001,1.0611081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_674008,-1.57079633,0.0,0.005,20001,1.0644865,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_658478,-1.57079633,0.0,0.005,20001,1.0622162,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_724842,-1.57079633,0.0,0.005,20001,1.0656216,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_58_941022,-1.57079633,0.0,0.005,20001,1.0633784,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_333373,-1.57079633,0.0,0.005,20001,1.0668108,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_364636,-1.57079633,0.0,0.005,20001,1.0645135,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_411510,-1.57079633,0.0,0.005,20001,1.0622432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_458821,-1.57079633,0.0,0.005,20001,1.0656486,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_647169,-1.57079633,0.0,0.005,20001,1.0679459,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_31_00_008080,-1.57079633,0.0,0.005,20001,1.0668378,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_59_599869,-1.57079633,0.0,0.005,20001,1.0663514,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_31_00_274660,-1.57079633,0.0,0.005,20001,1.0690811,6.2831853,0,0.11032751,1,4.712389,9.8
