time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_11_18_07_213425,1.2550584,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_245276,1.5629029,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_307885,1.2629518,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_07_370875,1.5392225,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_073577,0.14997553,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_089205,0.28416416,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_168035,0.3552052,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_199185,0.42624624,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_277954,0.3709921,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_403868,0.85249248,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_466681,0.70251695,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_560707,1.2155911,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_498022,1.1366566,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_607684,1.4287142,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_638853,1.4997553,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_654865,1.231378,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_18_15_670501,1.3971405,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_33_857673,-1.57079633,0.0,0.005,4001,0.18090452,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_33_842053,-1.57079633,0.0,0.005,4001,0.22613065,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_075330,-1.57079633,0.0,0.005,4001,0.010050251,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_138323,-1.57079633,0.0,0.005,4001,0.24120603,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_225624,-1.57079633,0.0,0.005,4001,0.11055276,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_248263,-1.57079633,0.0,0.005,4001,0.065326633,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_279545,-1.57079633,0.0,0.005,4001,0.1959799,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_373865,-1.57079633,0.0,0.005,4001,0.070351759,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_483656,-1.57079633,0.0,0.005,4001,0.075376884,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_526481,-1.57079633,0.0,0.005,4001,0.035175879,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_546657,-1.57079633,0.0,0.005,4001,0.17085427,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_499282,-1.57079633,0.0,0.005,4001,0.20100503,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_687703,-1.57079633,0.0,0.005,4001,0.1758794,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_829211,-1.57079633,0.0,0.005,4001,0.085427136,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_844849,-1.57079633,0.0,0.005,4001,0.27135678,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_860477,-1.57079633,0.0,0.005,4001,0.31658291,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_876099,-1.57079633,0.0,0.005,4001,0.36180905,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_903373,-1.57079633,0.0,0.005,4001,0.40703518,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_37_950680,-1.57079633,0.0,0.005,4001,0.45226131,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_38_044896,-1.57079633,0.0,0.005,4001,0.4120603,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_22_38_091780,-1.57079633,0.0,0.005,4001,0.45728643,6.2831853,0,0.11032751,1,4.712389,9.8
